text,label,priority
maintenance sweep urgent,PWD,Low
light battery,Fire,Low
fire safety training,Fire,Low
dead bird disease,Health Department,High
Issue: electric pole down,Electricity,High
live wire on road reported,Electricity,High
sanitation training urgent,Health Department,Low
Issue: road subsidence,PWD,High
exit door repair urgent,Fire,Low
rash driving school urgent,Police/Traffic,Medium
bench repair,Municipality,Low
clinic calibration,Health Department,Low
assault victim urgent,Police/Traffic,High
street clean urgent,Municipality,Medium
dog attack animal reported,Health Department,High
accident multiple injuries urgent,Police/Traffic,High
tree pruning reported,Municipality,Low
health awareness,Health Department,Low
tank paint urgent,Water,Low
food poison outbreak,Health Department,High
bulb replacement urgent,Electricity,Low
electrical burning urgent,Fire,Medium
Issue: crack in box,Electricity,Low
electrical burning reported,Fire,Medium
alarm not working reported,Fire,Medium
pole tilt urgent,Electricity,Low
safety sign replace,Fire,Low
Issue: bulb replacement,Electricity,Low
water supply cut,Water,High
Issue: two wheeler stolen,Police/Traffic,Medium
Issue: molestation reported,Police/Traffic,High
noise pollution urgent,Police/Traffic,Medium
illegal construction reported,Municipality,High
tree branches danger urgent,Municipality,Medium
mosquito breeding reported,Health Department,Medium
Issue: rash driving school,Police/Traffic,Medium
dustbin overflow reported,Municipality,Medium
minor pothole urgent,PWD,Low
Issue: mark lines faded,Police/Traffic,Low
illegal parking,Police/Traffic,Medium
dengue outbreak vector reported,Health Department,High
tank rupture flood urgent,Water,High
path uneven falls reported,PWD,Medium
Issue: tree branches danger,Municipality,Medium
alarm not working urgent,Fire,Medium
Issue: illegal construction,Municipality,High
Issue: encroachment road,Municipality,High
two wheeler stolen reported,Police/Traffic,Medium
road cracked urgent,PWD,Medium
Issue: sign faded,PWD,Low
signal light dirty reported,Police/Traffic,Low
dangling wire reported,Electricity,Medium
parking mark urgent,Police/Traffic,Low
Issue: fire safety training,Fire,Low
Issue: signal light dirty,Police/Traffic,Low
Issue: loose connection,Electricity,Medium
meter broken urgent,Electricity,Medium
Issue: robbery incident,Police/Traffic,High
sparking transformer,Electricity,High
water discolored,Water,Medium
noise pollution reported,Police/Traffic,Medium
Issue: dusty fixture,Electricity,Low
Issue: equipment maintenance,Fire,Low
vehicle theft urgent,Police/Traffic,High
loose connection reported,Electricity,Medium
Issue: potholes repair,PWD,Medium
paint fading reported,Electricity,Low
stray dogs nuisance,Health Department,Medium
irregular supply hours urgent,Water,Medium
Issue: contaminated water,Water,High
power tripping reported,Electricity,Medium
food stall license urgent,Health Department,Medium
Issue: sidewalk broken,PWD,Medium
sewage overflow disease reported,Water,High
Issue: mosquito breeding,Health Department,Medium
pharmacy expired,Health Department,Medium
crack in box urgent,Electricity,Low
Issue: road cracked,PWD,Medium
potholes repair urgent,PWD,Medium
park encroachment,Municipality,Medium
health inspection urgent,Health Department,Low
Issue: meter broken,Electricity,Medium
contaminated water,Water,High
accident multiple injuries reported,Police/Traffic,High
gas cylinder blast,Fire,High
dead bird disease urgent,Health Department,High
tap broken,Water,Medium
tank rupture flood,Water,High
bridge crack structural,PWD,High
Issue: signal broken jam,Police/Traffic,Medium
electric pole down reported,Electricity,High
sewage overflow disease urgent,Water,High
Issue: water discolored,Water,Medium
food poison outbreak urgent,Health Department,High
minor pothole reported,PWD,Low
sewage overflow disease,Water,High
dog attack animal urgent,Health Department,High
mark lines faded,Police/Traffic,Low
sparking transformer reported,Electricity,High
health checkup urgent,Health Department,Low
equipment maintenance urgent,Fire,Low
road cracked reported,PWD,Medium
minor repair reported,Water,Low
water supply cut urgent,Water,High
tank not maintained reported,Water,Medium
contaminated water reported,Water,High
Issue: sparking transformer,Electricity,High
two wheeler stolen urgent,Police/Traffic,Medium
loose connection urgent,Electricity,Medium
sign damaged urgent,Police/Traffic,Low
Issue: food poison outbreak,Health Department,High
malaria cases,Health Department,Medium
Issue: stray dogs nuisance,Health Department,Medium
Issue: health inspection,Health Department,Low
equipment maintenance reported,Fire,Low
helmet awareness urgent,Police/Traffic,Low
tank not maintained urgent,Water,Medium
tap broken urgent,Water,Medium
dengue outbreak vector urgent,Health Department,High
Issue: electrical burning,Fire,Medium
bridge crack structural reported,PWD,High
vehicle theft urgent reported,Police/Traffic,High
meter servicing,Water,Low
path uneven falls urgent,PWD,Medium
parking mark reported,Police/Traffic,Low
dog attack animal,Health Department,High
gas cylinder blast urgent,Fire,High
street clean reported,Municipality,Medium
water discolored urgent,Water,Medium
garbage outbreak urgent,Municipality,High
signal light dirty,Police/Traffic,Low
divider damaged urgent,PWD,Medium
major pothole accident,PWD,High
Issue: vehicle theft urgent,Police/Traffic,High
building fire trapped,Fire,High
sewage overflow,Municipality,High
Issue: minor pothole,PWD,Low
road damage traffic,PWD,High
fire safety training urgent,Fire,Low
dustbin overflow,Municipality,Medium
Issue: parking mark,Police/Traffic,Low
